id,date,competition,home,away,result,minute,score,what,how,jersey
261,2012-04-07,PRM,Real Zaragoza,FC Barcelona,1-4,39,1-2,,Left foot,10
262,2012-04-07,PRM,Real Zaragoza,FC Barcelona,1-4,86,1-3,Penalty,Left foot,10
263,2012-04-10,PRM,FC Barcelona,Getafe,4-0,44,2-0,,Left foot,10
264,2012-04-14,PRM,Levante,FC Barcelona,1-2,64,1-1,Field goal,Left foot,10
265,2012-04-14,PRM,Levante,FC Barcelona,1-2,72,1-2,Penalty,Left foot,10
266,2012-04-29,PRM,Rayo Vallecano,FC Barcelona,0-7,16,0-1,,Left foot,10
267,2012-04-29,PRM,Rayo Vallecano,FC Barcelona,0-7,90,0-7,,Left foot,10
268,2012-05-02,PRM,FC Barcelona,Málaga,4-1,35,2-1,Penalty,Left foot,10
269,2012-05-02,PRM,FC Barcelona,Málaga,4-1,59,3-1,Penalty,Left foot,10
270,2012-05-02,PRM,FC Barcelona,Málaga,4-1,64,4-1,,Left foot,10
271,2012-05-05,PRM,FC Barcelona,Espanyol,4-0,12,1-0,Free kick,Left foot,10
272,2012-05-05,PRM,FC Barcelona,Espanyol,4-0,64,2-0,Penalty,Left foot,10
273,2012-05-05,PRM,FC Barcelona,Espanyol,4-0,74,3-0,,Left foot,10
274,2012-05-05,PRM,FC Barcelona,Espanyol,4-0,79,4-0,Penalty,Left foot,10
275,2012-05-25,CUP,Athletic de Bilbao,FC Barcelona,0-3,20,0-2,,Right foot,10
276,2012-06-03,WCQ,Argentina,Ecuador,4-0,31,3-0,,Left foot,10
277,2012-06-09,FRN,Argentina,Brazil,4-3,31,1-1,,Left foot,10
278,2012-06-09,FRN,Argentina,Brazil,4-3,35,2-1,,Left foot,10
279,2012-06-09,FRN,Argentina,Brazil,4-3,85,4-3,Solo run,Left foot,10
280,2012-08-15,FRN,Germany,Argentina,1-3,52,0-2,,Left foot,10
281,2012-08-19,PRM,FC Barcelona,Real Sociedad,5-1,11,2-1,,Left foot,10
282,2012-08-19,PRM,FC Barcelona,Real Sociedad,5-1,16,3-1,,Left foot,10
283,2012-08-23,SUP,FC Barcelona,Real Madrid,3-2,70,2-1,Penalty,Left foot,10
284,2012-08-26,PRM,Osasuna,FC Barcelona,1-2,76,1-1,,Left foot,10
285,2012-08-26,PRM,Osasuna,FC Barcelona,1-2,80,1-2,,Left foot,10
286,2012-08-29,SUP,Real Madrid,FC Barcelona,2-1,45,2-1,Free kick,Left foot,10
287,2012-09-08,WCQ,Argentina,Paraguay,3-1,63,3-1,Free kick,Left foot,10
288,2012-09-15,PRM,Getafe,FC Barcelona,1-4,74,0-2,Penalty,Left foot,10
289,2012-09-15,PRM,Getafe,FC Barcelona,1-4,78,0-3,,Left foot,10
290,2012-09-19,EUR,FC Barcelona,Spartak Moscow,3-2,71,2-2,,Left foot,10
291,2012-09-19,EUR,FC Barcelona,Spartak Moscow,3-2,80,3-2,,Head,10
292,2012-10-07,PRM,FC Barcelona,Real Madrid,2-2,31,1-1,,Left foot,10
293,2012-10-07,PRM,FC Barcelona,Real Madrid,2-2,61,2-1,Free kick,Left foot,10
